Country;Continent;Rank;Title;Artists;Album;Explicit;Duration
Global;Global;1;Rain On Me;Lady Gaga Ariana Grande;Rain On Me (with Ariana Grande);0;1820
Global;Global;2;Blinding Lights;The Weeknd;After Hours;0;200
Global;Global;3;ROCKSTAR (feat. Roddy Ricch);DaBaby, Roddy Ricch;BLAME IT ON BABY;1;181
Global;Global;4;Roses - Imanbek Remix;SAINt JHN, Imanbek;Roses (Imanbek Remix);1;176
Global;Global;5;Toosie Slide;Drake;Dark Lane Demo Tapes;1;247
Global;Global;6;death bed (coffee for your head) (feat. beabadoobee);Powfu, beabadoobee;death bed (coffee for your head) (feat. beabadoobee);0;173
Global;Global;7;THE SCOTTS;THE SCOTTS, Travis Scott, Kid Cudi;THE SCOTTS;1;165
Global;Global;8;Don't Start Now;Dua Lipa;Future Nostalgia;0;183
Global;Global;9;Stuck with U (with Justin Bieber);Ariana Grande, Justin Bieber;Stuck with U;0;228
Global;Global;10;Dance Monkey;Tones And I;Dance Monkey (Stripped Back) / Dance Monkey;0;209
Global;Global;11;GOOBA;6ix9ine;GOOBA;1;132
Global;Global;12;Blueberry Faygo;Lil Mosey;Certified Hitmaker;1;162
Global;Global;13;The Box;Roddy Ricch;Please Excuse Me For Being Antisocial;1;196
Global;Global;14;ily (i love you baby) (feat. Emilee);Surf Mesa, Emilee;ily (i love you baby) (feat. Emilee);0;176
Global;Global;15;Break My Heart;Dua Lipa;Future Nostalgia;0;221
Global;Global;16;Supalonely;BENEE, Gus Dapperton;STELLA & STEVE;1;223
Global;Global;17;Intentions (feat. Quavo);Justin Bieber, Quavo;Changes;0;212
Global;Global;18;In Your Eyes;The Weeknd;After Hours;1;237
Global;Global;19;Sunday Best;Surfaces;Where the Light Is;0;158
Global;Global;20;Say So;Doja Cat;Hot Pink;1;237
Global;Global;21;Falling;Trevor Daniel;Nicotine;0;159
Global;Global;22;Savage Remix (feat. Beyoncé);Megan Thee Stallion, Beyoncé;Savage Remix (feat. Beyoncé);1;242
Global;Global;23;Safaera;Bad Bunny, Jowell & Randy, Nengo Flow;YHLQMDLG;1;295
Global;Global;24;Someone You Loved;Lewis Capaldi;Divinely Uninspired To A Hellish Extent;0;182
Global;Global;25;Yo Perreo Sola;Bad Bunny;YHLQMDLG;0;172
Global;Global;26;Circles;Post Malone;Hollywood's Bleeding;0;215
Global;Global;27;Say So (feat. Nicki Minaj);Doja Cat, Nicki Minaj;Say So (feat. Nicki Minaj);1;206
Global;Global;28;Party Girl;StaySolidRocky;Party Girl;0;147
Global;Global;29;Watermelon Sugar;Harry Styles;Fine Line;0;174
Global;Global;30;goosebumps;Travis Scott;Birds In The Trap Sing McKnight;1;243
Global;Global;31;Tusa;KAROL G, Nicki Minaj;Tusa;0;200
Global;Global;32;WHATS POPPIN;Jack Harlow;Sweet Action;1;139
Global;Global;33;Boss Bitch;Doja Cat;Boss Bitch;0;134
Global;Global;34;ROXANNE;Arizona Zervas;ROXANNE;1;163
Global;Global;35;SICKO MODE;Travis Scott;ASTROWORLD;1;312
Global;Global;36;Play Date;Melanie Martinez;Cry Baby (Deluxe Edition);1;179
Global;Global;37;Be Kind (with Halsey);Marshmello, Halsey;Be Kind (with Halsey);0;172
Global;Global;38;Life Is Good (feat. Drake);Future, Drake;High Off Life;1;237
Global;Global;39;HIGHEST IN THE ROOM;Travis Scott;HIGHEST IN THE ROOM;1;175
Global;Global;40;Breaking Me;Topic, A7S;Breaking Me;0;166
Global;Global;41;Adore You;Harry Styles;Fine Line;0;207
Global;Global;42;Rojo;J Balvin;Colores;0;150
Global;Global;43;Before You Go;Lewis Capaldi;Divinely Uninspired To A Hellish Extent (Extended Edition);0;215
Global;Global;44;Memories;Maroon 5;Memories;0;189
Global;Global;45;After Party;Don Toliver;Heaven Or Hell;1;167
Global;Global;46;bad guy;Billie Eilish;WHEN WE ALL FALL ASLEEP, WHERE DO WE GO?;0;194
Global;Global;47;Señorita;Shawn Mendes, Camila Cabello;Shawn Mendes (Deluxe);0;190
Global;Global;48;Daechwita;Agust D;D-2;1;225
Global;Global;49;MAMACITA;Black Eyed Peas, Ozuna, J. Rey Soul;MAMACITA;1;249
Global;Global;50;Favorito;Camilo;Por Primera Vez;0;209
Argentina;South America;1;Colocao;Nicki Nicole;Colocao;1;179
Argentina;South America;2;Favorito;Camilo;Por Primera Vez;0;209
Argentina;South America;3;PORFA;Feid, Justin Quiles;FERXXO (VOL 1: M.O.R);0;232
Argentina;South America;4;Yo Perreo Sola;Bad Bunny;YHLQMDLG;0;172
Argentina;South America;5;C.R.O: Bzrp Music Session, Vol. 29;Bizarrap, C.R.O;C.R.O: Bzrp Music Session, Vol. 29;0;146
Argentina;South America;6;Elegí (feat. Dímelo Flow);Rauw Alejandro, Dalex, Lenny Tavárez, Dímelo Flow;Elegí (feat. Dímelo Flow);0;197
Argentina;South America;7;Rojo;J Balvin;Colores;0;150
Argentina;South America;8;Safaera;Bad Bunny, Jowell & Randy, Nengo Flow;YHLQMDLG;1;295
Argentina;South America;9;Tattoo;Rauw Alejandro;Tattoo;0;202
Argentina;South America;10;Inolvidable;Ovy On The Drums, Beéle;Inolvidable;0;225
Argentina;South America;11;Tusa;KAROL G, Nicki Minaj;Tusa;0;200
Argentina;South America;12;Hola - Remix;Dalex, Lenny Tavárez, Chencho Corleone, Juhn, Dímelo Flow;Hola (Remix);0;249
Argentina;South America;13;Por Primera Vez;Camilo, Evaluna Montaner;Por Primera Vez;0;182
Argentina;South America;14;Diosa;Myke Towers;Easy Money Baby;1;214
Argentina;South America;15;La Jeepeta - Remix;Nio Garcia, Anuel AA, Myke Towers, Brray, Juanka;La Jeepeta (Remix);1;345
Argentina;South America;16;Relación;Sech;1 of 1;0;184
Argentina;South America;17;Morado;J Balvin;Colores;0;200
Argentina;South America;18;Sigues Con El;Dímelo Flow, Arcangel, Sech;Sigues Con El;0;226
Argentina;South America;19;Blinding Lights;The Weeknd;After Hours;0;200
Argentina;South America;20;Tak Tiki Tak;Harry Nach;Tak Tiki Tak;1;212
Argentina;South America;21;Dance Monkey;Tones And I;Dance Monkey (Stripped Back) / Dance Monkey;0;209
Argentina;South America;22;Fantasias;Rauw Alejandro, Farruko;Fantasias;0;199
Argentina;South America;23;Loco;Beéle;Loco;0;204
Argentina;South America;24;Locura;Cali Y El Dandee, Sebastian Yatra;Colegio;0;209
